Instance,NU,NC,Fed,Adult,↓V,Users,BI,BB,UT,MO,Version
[mimiclem.me](https://mimiclem.me),Yes,No,Yes,Yes,Yes,1,1,0,97%,17,0.19.3
[   ](https://links.rocks),Yes,Yes,Yes,Yes,Yes,1,1,0,??,??,0.19.3
[ShinyLemmy](https://lemmy.shiny-task.com),Yes,No,Yes,Yes,Yes,1,0,0,100%,17,0.19.3
[Simpl Lemmy](https://lemmy.simpl.website),Yes,No,Yes,Yes,Yes,1,0,0,100%,18,0.19.3
[social.sour.is](https://social.sour.is),Yes,No,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[lemmy.zhukov.al](https://lemmy.zhukov.al),Yes,No,Yes,Yes,Yes,0,0,0,95%,17,0.19.3
[soc.ebmn.io](https://soc.ebmn.io),Yes,No,Yes,Yes,Yes,0,0,0,88%,17,0.19.3
[Switter.su](https://switter.su),Yes,Yes,Yes,Yes,Yes,0,0,1,76%,17,0.19.3
[My Lemmy Instance](https://lemmy.noellesporn.de),Yes,Yes,Yes,Yes,Yes,0,1,0,??,??,0.19.3
[PIT.NINJA](https://lemmy.pit.ninja),Yes,Yes,Yes,Yes,Yes,0,0,0,83%,18,0.19.3
[Tomaz's Lemmy](https://lemmy.tomaz.me),Yes,No,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[Hobbit World](https://hobbit.world),Yes,No,Yes,Yes,Yes,0,0,0,100%,17,0.19.3
[Lemmy.DooMeeR](https://lemmy.doomeer.com),Yes,Yes,Yes,Yes,Yes,0,0,0,100%,17,0.19.3
[Lemmy Killtime](https://lemmy.killtime.online),Yes,No,Yes,Yes,Yes,0,0,0,100%,16,0.19.3
[Despotism](https://lemmy.despotes.nl),Yes,No,Yes,Yes,Yes,0,0,0,77%,17,0.19.3
[TelaLemmy](https://lemmy.telaax.com),Yes,Yes,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[Lemmy Coupou.fr](https://lemmy.coupou.fr),Yes,Yes,Yes,Yes,Yes,0,0,0,99%,37,0.19.3
[Dr. Lemmy](https://drlemmy.net),Yes,Yes,Yes,Yes,Yes,0,0,0,97%,17,0.19.3
[s.jape.work](https://s.jape.work),Yes,Yes,Yes,Yes,Yes,0,2,0,??,??,0.19.3
[Scam-Lemmy.me](https://lemmy.scam-mail.me),Yes,Yes,Yes,Yes,Yes,0,0,0,96%,17,0.19.3
[lemmiys](https://lemmy.iys.io),Yes,Yes,Yes,Yes,Yes,0,2,0,100%,17,0.19.3
[lemmy.skoops.social](https://lemmy.skoops.social),Yes,Yes,Yes,Yes,Yes,0,0,0,98%,15,0.19.3
[Silver's Home](https://lemmy.brendan.ie),Yes,No,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[Leuker Lemmy](https://lemy.leuker.me),Yes,No,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[lemmy by Z31TUNG](https://lemmy.davidfreina.at),Yes,No,Yes,Yes,Yes,0,0,0,98%,17,0.19.2
[schoenwolf-schroeder](https://lemmy.schoenwolf-schroeder.com),Yes,Yes,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[Baron Lemmy Group](https://lemmy.calvss.com),Yes,No,Yes,Yes,Yes,0,0,0,92%,18,0.19.0
[Azgil](https://azgil.net),Yes,Yes,Yes,Yes,Yes,0,0,0,100%,16,0.19.3
[CompuVerse](https://compuverse.uk),Yes,Yes,Yes,Yes,Yes,0,6,0,??,??,0.19.1
[slc.dev](https://slc.dev),Yes,No,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[pztrn's Bin](https://bin.pztrn.name),Yes,No,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[New Site](https://lemmy.linden.social),Yes,Yes,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[Lemmo](https://lem.nimmog.uk),Yes,No,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[Lemmy.graphics](https://lemmy.graphics),Yes,No,Yes,Yes,Yes,0,0,0,99%,17,0.19.3
[antisocial.ly](https://lemmy.antisocial.ly),Yes,Yes,Yes,Yes,Yes,0,39,0,90%,18,0.19.3
[Lemmy](https://lemmy.services.coupou.fr),Yes,Yes,Yes,Yes,Yes,0,0,1,99%,37,0.19.3
[lemmy.glasgow.social](https://lemmy.glasgow.social),Yes,Yes,No,Yes,Yes,0,0,1,91%,47,0.19.3
[dev.lemmy.world](https://dev.lemmy.world),Yes,Yes,No,Yes,Yes,0,0,0,??,??,0.19.3-6-g86e4cb214
[mebitek](https://lemmy.mebitek.com),Yes,No,Yes,Yes,Yes,0,0,0,88%,8,0.19.3
[Jimbo's Lemmy](https://lemmy.jimbosfiles.com),Yes,Yes,Yes,Yes,Yes,0,0,0,??,??,0.19.3
[Jaypg](https://lemmy.jaypg.pw),Yes,Yes,Yes,Yes,Yes,0,0,0,96%,14,0.19.3
[MetaPowers](https://metapowers.org),Yes,Yes,Yes,Yes,Yes,0,0,0,99%,17,0.19.0
[博物谈](https://forum.penclub.club),Yes,Yes,Yes,Yes,Yes,0,0,0,96%,13,0.19.3
[lemmy.wentam.net](https://lemmy.wentam.net),Yes,Yes,Yes,Yes,Yes,0,0,0,98%,11,0.19.3
[AzamServer](https://lemmy.azamserver.com),Yes,No,Yes,Yes,Yes,0,0,0,94%,17,0.19.3
[Hoi Hoi Hoi Superboi](https://hoihoi.superboi.eu.org),Yes,No,Yes,Yes,Yes,0,0,0,89%,17,0.19.3
[w9r.de](https://lemmy.w9r.de),Yes,No,Yes,Yes,Yes,0,0,0,100%,17,0.19.0-rc.13
[ch3n2k的中文Lemmy站](https://lemmy.ch3n2k.com),Yes,No,No,No,Yes,0,0,0,99%,17,0.19.3
[Nannoda Lemmy](https://lemmy.nannoda.com),Yes,No,No,Yes,Yes,0,0,0,??,??,0.19.3
[kuuhana](https://kuu.kohana.fi),Yes,No,Yes,Yes,Yes,0,0,0,100%,17,0.19.3
[Sya's Lemmy](https://lemmy.syrasu.com),Yes,No,Yes,Yes,Yes,0,0,0,91%,17,0.19.1
